Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1194.4191
FDW14,OUT017,1418.3328
NCN55,OUT010,453.0953
FDQ58,OUT017,2398.4182
FDY38,OUT027,5745.8105
FDH56,OUT046,1706.1521
FDL48,OUT018,509.24136
FDC48,OUT027,1802.4452
FDN33,OUT045,1489.0911
FDA36,OUT017,2904.6938
FDT44,OUT017,1750.2673
FDQ56,OUT045,1024.285
NCC54,OUT019,96.3279
FDU11,OUT049,1752.5925
DRL59,OUT013,233.06625
FDM24,OUT049,2997.4683
FDI57,OUT045,2396.9446
DRC12,OUT018,2701.4683
NCM42,OUT027,2489.5679
FDA46,OUT010,253.02388
FDA31,OUT013,2915.9387
NCJ31,OUT035,3254.2898
FDG52,OUT046,448.0138
NCL19,OUT019,33.29
FDS10,OUT035,2942.4092
FDX22,OUT010,561.46576
NCF19,OUT035,778.573
NCE06,OUT046,1840.4526
DRC27,OUT046,2898.29
FDE21,OUT035,2099.5684
NCR42,OUT019,33.29
FDX51,OUT018,2924.1675
NCR06,OUT018,408.57883
FDU31,OUT027,5770.176
FDU59,OUT017,2385.6584
FDR03,OUT027,5384.9688
FDS49,OUT027,2231.5886
FDD48,OUT010,33.29
NCF18,OUT017,2670.8574
NCD43,OUT027,2338.4883
NCD54,OUT018,1800.4425
FDY19,OUT010,33.29
NCY54,OUT017,2243.1868
NCL19,OUT018,1976.7706
FDP23,OUT010,481.8841
FDC26,OUT013,1750.0992
FDR14,OUT010,33.29
NCS41,OUT035,2917.2207
FDF41,OUT035,4209.21
FDU34,OUT046,1669.085
DRH11,OUT046,488.23462
FDM03,OUT013,1721.782
FDS31,OUT017,3109.0571
FDJ20,OUT017,2040.6178
FDV44,OUT027,5076.3613
FDG02,OUT049,2719.4363
FDA09,OUT013,2907.9197
FDT04,OUT013,384.983
FDL58,OUT019,564.9634
FDE52,OUT045,829.1696
FDW12,OUT035,2993.2637
FDL51,OUT017,3355.6243
NCY42,OUT027,3230.3818
FDR07,OUT017,1392.9221
FDN40,OUT045,2020.0564
FDB35,OUT027,1900.6511
FDA22,OUT017,2367.0715
NCL06,OUT046,3077.8208
FDI35,OUT013,2467.0586
NCW42,OUT045,2887.7197
NCX06,OUT049,2684.5354
FDC37,OUT027,2517.3538
FDZ14,OUT018,1507.1089
DRG49,OUT049,3750.9148
NCG06,OUT045,3308.9846
DRC36,OUT045,2179.8855
FDV21,OUT019,33.29
FDB53,OUT046,1838.0496
DRP47,OUT019,290.25385
FDA14,OUT013,1854.9692
DRC24,OUT035,2477.4766
FDW21,OUT018,1349.2595
NCH29,OUT046,1246.6515
FDU58,OUT013,2933.2632
FDY27,OUT017,2563.244
FDV56,OUT035,2133.1187
FDT59,OUT046,3476.5496
FDB23,OUT046,3678.744
FDR49,OUT045,431.2793
FDB03,OUT010,330.47778
FDN39,OUT045,2081.8542
FDX02,OUT027,5435.6455
FDQ16,OUT027,2858.374
FDU35,OUT018,1393.6633
NCT29,OUT013,1418.855
FDZ27,OUT046,113.76928
FDN57,OUT017,1995.3873
FDA03,OUT018,1655.9875
FDZ36,OUT045,3043.8408
NCU05,OUT013,722.8779
FDT39,OUT018,2259.1714
FDK60,OUT017,1429.3159
FDZ25,OUT017,2860.7698
FDG12,OUT046,2134.6611
DRB01,OUT019,33.29
NCC43,OUT027,5454.041
FDX13,OUT019,284.76425
FDM22,OUT049,604.87036
FDJ03,OUT027,834.8922
FDU14,OUT018,3501.9006
FDB33,OUT010,33.29
FDP27,OUT046,2364.4504
FDO38,OUT010,33.29
FDE28,OUT027,5791.376
FDO27,OUT035,1455.6034
DRL23,OUT027,2505.0386
FDS28,OUT046,835.40326
FDX24,OUT013,1410.1418
FDZ02,OUT035,1652.3259
FDL46,OUT045,1259.9247
